,iata,TaxiOut,lat,long
101,EUG,9.21431966161304,44.12326,-123.2186856
155,IPL,9.220556745182012,32.83422028,-115.5787456
95,EFD,9.22083805209513,29.60733333,-95.15875
152,ILM,9.24547228489542,34.27061111,-77.90255556
144,HTS,9.26778149386845,38.36666667,-82.55802778
214,MRY,9.270123638250045,36.5869825,-121.8429478
249,PSC,9.27068510672316,46.26468028,-119.1190292
34,BIS,9.285501556788953,46.77411111,-100.7467222
66,CLL,9.30346928957075,30.58858944,-96.36382417
131,GST,9.333635539437896,58.42438139,-135.7073814
99,ELP,9.356445000145388,31.80666667,-106.3778056
73,CPR,9.356799600574174,42.90835556,-106.4644661
259,RDM,9.391038307094142,44.25406722,-121.1499633
29,BFL,9.40896111531032,35.43359806,-119.0567681
212,MOT,9.428527630872996,48.25937778,-101.2803339
39,BOI,9.453920544122354,43.56444444,-116.2227778
138,HLN,9.460816041627009,46.60681806,-111.9827503
196,MEI,9.462913315460233,32.33313333,-88.75120556
285,SIT,9.482110407920295,57.04713806,-135.3615983
105,EYW,9.483499095840868,24.55611111,-81.75955556
160,IYK,9.508247622744031,35.65884306,-117.8295122
157,ISP,9.5183996048407,40.7952425,-73.10021194
137,HKY,9.533950617283953,35.74114639,-81.38954889
181,LNK,9.546057580523833,40.85097222,-96.75925
61,CIC,9.558668704364068,39.79538278,-121.8584231
75,CRW,9.580951485520872,38.37315083,-81.59318972
106,FAI,9.5810677448109,64.8136775,-147.8596694
150,ILE,9.612641932451002,31.08583333,-97.6865
58,CHA,9.62012384874108,35.03526833,-85.20378778
291,SMF,9.62502625478792,38.69542167,-121.5907669
171,LAW,9.650862619808306,34.56771444,-98.41663667
268,ROW,9.65531914893617,33.30155556,-104.5305556
162,JAN,9.667536297640654,32.31116667,-90.07588889
168,KTN,9.709961621892209,55.35556861,-131.71374
229,ONT,9.72111522606276,34.056,-117.6011944
71,COD,9.732110091743118,44.52019417,-109.0237961
244,PIR,9.75,44.38267694,-100.285965
158,ITH,9.767068805515049,42.49102778,-76.45844444
232,ORH,9.772833723653395,42.26733944,-71.87570944
218,MSY,9.837305477050764,29.99338889,-90.25802778
30,BGM,9.853479853479854,42.20848278,-75.97961361
198,MFE,9.867806134394757,26.17583333,-98.23861111
257,RAP,9.86834761163032,44.04532139,-103.0573708
272,SAT,9.894242599081938,29.53369444,-98.46977778
223,OAK,9.896956785734671,37.72129083,-122.2207167
222,OAJ,9.897993311036789,34.82916444,-77.61213778
294,SOP,9.9153605015674,35.23735278,-79.39116944
169,LAN,9.915671750889333,42.7787,-84.58735806
266,ROA,9.924738834647462,37.32546833,-79.97542833
119,GEG,9.94222778116979,47.61985556,-117.5338425
275,SBN,9.944999010264969,41.70895361,-86.31847417
265,RNO,9.94686189926484,39.49857611,-119.7680647
89,DLH,9.948820901430752,46.84209028,-92.19364861
180,LIT,9.993249942796126,34.72939611,-92.22424556
2,ABQ,10.031526364394596,35.04022222,-106.6091944
62,CID,10.057499679774562,41.88458833,-91.71087222
192,MCN,10.064722943062128,32.69284944,-83.64921083
184,LSE,10.074517468849256,43.87937972,-91.25653778
226,OKC,10.09951624049758,35.39308833,-97.60073389
307,TLH,10.136413968185378,30.39652778,-84.35033333
50,BUR,10.143346166551195,34.20061917,-118.3584969
263,RHI,10.161434977578477,45.63119306,-89.46745361
18,APF,10.190525587828493,26.15247222,-81.77544444
190,MBS,10.195979308723254,43.53291472,-84.07964722
210,MOB,10.204033214709373,30.69141667,-88.24283333
24,AVP,10.205617572920415,41.33814944,-75.7242675
248,PNS,10.261866672894358,30.47330556,-87.18744444
32,BHM,10.302891326021934,33.56294306,-86.75354972
216,MSO,10.308034647550777,46.91630556,-114.0905556
183,LRD,10.343240350103898,27.54373861,-99.46154361
278,SCE,10.377129364142352,40.851206,-77.846302
329,YUM,10.382818317200298,32.65658333,-114.6059722
90,DRO,10.38494476320973,37.15151667,-107.7537692
221,MYR,10.405133735148562,33.67975,-78.92833333
314,TUS,10.416336542640323,32.11608333,-110.9410278
252,PSP,10.431540908995132,33.82921556,-116.5062531
312,TUL,10.474059205626643,36.19837222,-95.88824167
276,SBP,10.476752313585148,35.23705806,-120.6423931
127,GRK,10.483176903232888,31.06489778,-97.82779778
269,RST,10.492883918927506,43.90882639,-92.49798722
33,BIL,10.499172701291446,45.8076625,-108.5428611
10,AEX,10.507743881997987,31.32737167,-92.54855611
220,MTJ,10.51388304585612,38.50886722,-107.8938333
125,GPT,10.55233120526214,30.40728028,-89.07009278
11,AGS,10.570913707662694,33.369955,-81.96449611
297,SPS,10.63108768810718,33.98879611,-98.49189333
47,BTR,10.65082176702051,30.53316083,-91.14963444
36,BLI,10.671013039117351,48.79275,-122.5375278
308,TOL,10.673019919373962,41.58680556,-83.80783333
22,AUS,10.673043308412742,30.19453278,-97.66987194
200,MGM,10.694231347773767,32.30064417,-86.39397611
279,SDF,10.711351419812182,38.17438889,-85.736
35,BJI,10.7421875,47.50942417,-94.93372333
282,SGF,10.778996059619669,37.24432611,-93.38685806
189,MAZ,10.798657718120806,18.25569444,-67.14847222
38,BNA,10.831710321144056,36.12447667,-86.67818222
110,FCA,10.850819260993145,48.31140472,-114.2550694
208,MLI,10.8575073899093,41.44852639,-90.50753917
19,ASE,10.883159991148483,39.22316,-106.868845
94,EAU,10.90277777777778,44.86525722,-91.48507194
207,MLB,10.903211868068558,28.10275,-80.64580556
186,LWS,10.904285714285717,46.37449806,-117.0153944
83,DBQ,10.911519386834987,42.40295944,-90.70916722
236,PDX,10.926622455870309,45.58872222,-122.5975
136,HHH,10.953861584754264,32.224384,-80.697629
25,AZO,10.98164721876062,42.234875,-85.5520575
145,HVN,11.00609756097561,41.26389889,-72.8871
102,EVV,11.035955447267664,38.03799139,-87.53062667
107,FAR,11.059343171897734,46.91934889,-96.81498889
227,OMA,11.10036279241236,41.30251861,-95.89417306
154,INL,11.10091743119266,48.56618722,-93.40306667
191,MCI,11.113419794526076,39.29760528,-94.71390556
111,FLG,11.127472527472529,35.13845472,-111.6712183
328,YKM,11.129268292682926,46.56816972,-120.5440594
301,STX,11.146826720017785,17.70188889,-64.79855556
298,SRQ,11.170536417876844,27.39533333,-82.55411111
213,MQT,11.196563285834031,46.353639,-87.395361
126,GRB,11.199996410688968,44.48507333,-88.12959
31,BGR,11.20060408505039,44.80744444,-68.82813889
238,PHF,11.205207818784842,37.13189556,-76.4929875
231,ORF,11.21509944004634,36.89461111,-76.20122222
0,ABE,11.249984980474617,40.65236278,-75.44040167
91,DSM,11.256465242143422,41.53493306,-93.66068222
165,JNU,11.262971917426071,58.35496194,-134.5762764
118,FWA,11.392749101909624,40.97846583,-85.19514639
148,ICT,11.48999665315533,37.64995889,-97.43304583
78,CWA,11.526547282437951,44.77761917,-89.66677944
23,AVL,11.53305029392554,35.43619444,-82.54180556
323,VPS,11.562573662056524,30.48325,-86.5254
163,JAX,11.583968705639023,30.49405556,-81.68786111
143,HSV,11.678393003426752,34.6404475,-86.77310944
315,TVC,11.70857471705352,44.74144472,-85.582235
21,ATW,11.729467141391588,44.25740806,-88.51947556
68,CMH,11.759210292052146,39.99798528,-82.89188278
116,FSD,11.767666308488815,43.58135111,-96.74170028
319,TYS,11.822727760489324,35.81248722,-83.99285583
52,BZN,11.861172063152262,45.77690139,-111.1530072
175,LEX,11.866517058205266,38.03697222,-84.60538889
254,PVD,11.884802759783009,41.72399917,-71.42822111
7,ACY,11.900955921402018,39.45758333,-74.57716667
194,MDT,11.90985730756619,40.19349528,-76.76340361
326,XNA,11.932992937455609,36.28186944,-94.30681111
115,FNT,11.943331655762456,42.96550333,-83.74345639
49,BUF,12.008685303157522,42.94052472,-78.73216667
300,STT,12.038018433179724,18.33730556,-64.97336111
51,BWI,12.04034888165378,39.17540167,-76.66819833
241,PIA,12.046339799939377,40.66424333,-89.69330556
151,ILG,12.048366013071895,39.67872222,-75.60652778
60,CHS,12.050396232514656,32.89864639,-80.04050583
44,BRO,12.05625717566016,25.90683333,-97.42586111
69,CMI,12.059182461256007,40.03925,-88.27805556
176,LFT,12.103738632536208,30.20527972,-91.987655
37,BMI,12.121250204906836,40.47798556,-88.91595278
80,DAB,12.168963517357565,29.17991667,-81.05805556
309,TPA,12.187872700144116,27.97547222,-82.53325
247,PMD,12.201530612244898,34.62938889,-118.0845528
16,ANC,12.208009745081933,61.17432028,-149.9961856
53,CAE,12.210607968342476,33.93884,-81.11953944
13,ALB,12.22399485402348,42.74811944,-73.80297861
242,PIE,12.269684290604792,27.91076333,-82.68743944
195,MDW,12.27098229459568,41.7859825,-87.75242444
256,PWM,12.281877282225553,43.64616667,-70.30875
286,SJC,12.329136029023132,37.36186194,-121.9290089
267,ROC,12.39001538395795,43.11886611,-77.67238389
54,CAK,12.398131790029444,40.91631194,-81.44246556
273,SAV,12.398377704637078,32.12758333,-81.20213889
261,RDU,12.424991522676375,35.87763889,-78.78747222
128,GRR,12.437776936451847,42.88081972,-85.52276778
201,MHT,12.448178254414168,42.93451639,-71.43705583
130,GSP,12.456874421528736,34.89566722,-82.21885833
264,RIC,12.46514656067044,37.50516667,-77.31966667
306,TEX,12.552147239263803,37.95375861,-107.90848
215,MSN,12.62517745111508,43.13985778,-89.33751361
271,SAN,12.645650760684193,32.73355611,-117.1896567
43,BQN,12.728066693132195,18.49486111,-67.12944444
235,PBI,12.737438704910325,26.68316194,-80.09559417
295,SPI,12.741238471673254,39.84395194,-89.67761861
250,PSE,12.796734234234236,18.00830278,-66.56301194
134,GUC,12.838999358563182,38.53396333,-106.9331817
161,JAC,12.878539798310571,43.60732417,-110.7377389
219,MTH,12.96875,24.72614083,-81.05137806
153,IND,13.117166791780985,39.71732917,-86.29438417
270,RSW,13.133885704406111,26.53616667,-81.75516667
246,PLN,13.1640625,45.5709275,-84.796715
82,DAY,13.165181220043864,39.90237583,-84.219375
293,SNA,13.177853023811666,33.67565861,-117.8682225
205,MKE,13.180634551114167,42.94722222,-87.89658333
290,SLE,13.183417085427136,44.90952778,-123.0025
296,SPN,13.204545454545457,14.996111,145.621384
48,BTV,13.212695877832118,44.47300361,-73.1503125
26,BDL,13.33637513226148,41.93887417,-72.68322833
178,LGB,13.344127994430702,33.81772222,-118.1516111
311,TTN,13.350407450523864,40.27669111,-74.81346833
304,SWF,13.370876611293433,41.50409361,-74.10483833
129,GSO,13.380616924164828,36.09774694,-79.9372975
305,SYR,13.468437368388347,43.11118694,-76.10631056
193,MCO,13.491281242180882,28.42888889,-81.31602778
123,GLH,13.5,33.48288111,-90.98561389
139,HNL,13.890512575515674,21.31869111,-157.9224072
72,COS,14.045568636641155,38.80580556,-104.70025
280,SEA,14.130838026103298,47.44898194,-122.3093131
174,LCH,14.14391459074733,30.1260975,-93.22340361
240,PHX,14.19278121445234,33.43416667,-112.0080556
70,CMX,14.255663430420713,47.16841722,-88.48906083
245,PIT,14.6450402948196,40.49146583,-80.23287083
172,LAX,14.759059383641295,33.94253611,-118.4080744
262,RFD,14.892125984251969,42.19536389,-89.09721111
170,LAS,14.936937750777268,36.08036111,-115.1523333
85,DEN,14.947393919047055,39.85840806,-104.6670019
197,MEM,14.952554772930691,35.04241667,-89.97666667
84,DCA,15.063571136941054,38.85208333,-77.03772222
135,HDN,15.122320615741124,40.48118028,-107.2176597
141,HPN,15.24277960845125,41.06695778,-73.70757444
112,FLL,15.285214250817855,26.07258333,-80.15275
288,SJU,15.3123671305876,18.43941667,-66.00183333
4,ACK,15.905808477237048,41.25305194,-70.06018139
65,CLE,15.96523968731781,41.41089417,-81.84939667
67,CLT,15.994958265759657,35.21401111,-80.94312583
204,MKC,16.0,39.12324111,-94.592735
77,CVG,16.071374344525317,39.04614278,-84.6621725
281,SFO,16.223519439109484,37.61900194,-122.3748433
289,SLC,16.480210106080683,40.78838778,-111.9777731
299,STL,16.679734962815395,38.74768694,-90.35998972
146,IAD,17.74724647511133,38.94453194,-77.45580972
86,DFW,17.765539664412973,32.89595056,-97.0372
40,BOS,17.956699909991,42.3643475,-71.00517917
217,MSP,18.22058801077182,44.88054694,-93.2169225
202,MIA,18.36347250554184,25.79325,-80.29055556
230,ORD,18.453796274975726,41.979595,-87.90446417
92,DTW,18.49004266868776,42.21205889,-83.34883583
96,EGE,18.651116734514247,39.64256778,-106.9176953
20,ATL,18.94585344405472,33.64044444,-84.42694444
147,IAH,19.169282277066134,29.98047222,-95.33972222
239,PHL,20.619126735240627,39.87195278,-75.24114083
177,LGA,23.81852087532722,40.77724306,-73.87260917
104,EWR,26.35182602929892,40.69249722,-74.16866056
164,JFK,28.057047185193092,40.63975111,-73.77892556
63,CKB,188.75,39.29663889,-80.22808333
