,UniqueCarrier,Origin,Dest,Route,count,Description,lat1,long1,lat2,long2
149,TW,OKC,DTW,OKCDTW,1,Trans World Airways LLC,35.39308833,-97.60073389,42.21205889,-83.34883583
150,9E,OMA,DTW,OMADTW,1325,Pinnacle Airlines Inc.,41.30251861,-95.89417306,42.21205889,-83.34883583
151,NW,OMA,DTW,OMADTW,396,Northwest Airlines Inc.,41.30251861,-95.89417306,42.21205889,-83.34883583
152,9E,ORF,DTW,ORFDTW,1,Pinnacle Airlines Inc.,36.89461111,-76.20122222,42.21205889,-83.34883583
153,NW,ORF,DTW,ORFDTW,15656,Northwest Airlines Inc.,36.89461111,-76.20122222,42.21205889,-83.34883583
154,9E,PHL,DTW,PHLDTW,2,Pinnacle Airlines Inc.,39.87195278,-75.24114083,42.21205889,-83.34883583
155,NW,PHL,DTW,PHLDTW,28680,Northwest Airlines Inc.,39.87195278,-75.24114083,42.21205889,-83.34883583
156,US,PHL,DTW,PHLDTW,11078,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),39.87195278,-75.24114083,42.21205889,-83.34883583
157,9E,PIA,DTW,PIADTW,244,Pinnacle Airlines Inc.,40.66424333,-89.69330556,42.21205889,-83.34883583
158,9E,PIT,DTW,PITDTW,908,Pinnacle Airlines Inc.,40.49146583,-80.23287083,42.21205889,-83.34883583
159,NW,PIT,DTW,PITDTW,14406,Northwest Airlines Inc.,40.49146583,-80.23287083,42.21205889,-83.34883583
160,US,PIT,DTW,PITDTW,11565,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),40.49146583,-80.23287083,42.21205889,-83.34883583
161,9E,PLN,DTW,PLNDTW,495,Pinnacle Airlines Inc.,45.5709275,-84.796715,42.21205889,-83.34883583
162,9E,PWM,DTW,PWMDTW,505,Pinnacle Airlines Inc.,43.64616667,-70.30875,42.21205889,-83.34883583
163,NW,PWM,DTW,PWMDTW,3856,Northwest Airlines Inc.,43.64616667,-70.30875,42.21205889,-83.34883583
164,9E,RDU,DTW,RDUDTW,17,Pinnacle Airlines Inc.,35.87763889,-78.78747222,42.21205889,-83.34883583
165,NW,RDU,DTW,RDUDTW,17797,Northwest Airlines Inc.,35.87763889,-78.78747222,42.21205889,-83.34883583
166,9E,RIC,DTW,RICDTW,806,Pinnacle Airlines Inc.,37.50516667,-77.31966667,42.21205889,-83.34883583
167,NW,RIC,DTW,RICDTW,11249,Northwest Airlines Inc.,37.50516667,-77.31966667,42.21205889,-83.34883583
168,9E,ROA,DTW,ROADTW,735,Pinnacle Airlines Inc.,37.32546833,-79.97542833,42.21205889,-83.34883583
169,9E,ROC,DTW,ROCDTW,516,Pinnacle Airlines Inc.,43.11886611,-77.67238389,42.21205889,-83.34883583
170,NW,ROC,DTW,ROCDTW,13135,Northwest Airlines Inc.,43.11886611,-77.67238389,42.21205889,-83.34883583
171,9E,RST,DTW,RSTDTW,351,Pinnacle Airlines Inc.,43.90882639,-92.49798722,42.21205889,-83.34883583
172,FL,RSW,DTW,RSWDTW,138,AirTran Airways Corporation,26.53616667,-81.75516667,42.21205889,-83.34883583
173,NW,RSW,DTW,RSWDTW,13708,Northwest Airlines Inc.,26.53616667,-81.75516667,42.21205889,-83.34883583
174,9E,SAV,DTW,SAVDTW,318,Pinnacle Airlines Inc.,32.12758333,-81.20213889,42.21205889,-83.34883583
175,NW,SAV,DTW,SAVDTW,353,Northwest Airlines Inc.,32.12758333,-81.20213889,42.21205889,-83.34883583
176,9E,SBN,DTW,SBNDTW,1392,Pinnacle Airlines Inc.,41.70895361,-86.31847417,42.21205889,-83.34883583
177,NW,SBN,DTW,SBNDTW,4757,Northwest Airlines Inc.,41.70895361,-86.31847417,42.21205889,-83.34883583
178,9E,SCE,DTW,SCEDTW,333,Pinnacle Airlines Inc.,40.851206,-77.846302,42.21205889,-83.34883583
179,9E,SDF,DTW,SDFDTW,572,Pinnacle Airlines Inc.,38.17438889,-85.736,42.21205889,-83.34883583
180,NW,SDF,DTW,SDFDTW,12425,Northwest Airlines Inc.,38.17438889,-85.736,42.21205889,-83.34883583
181,9E,SGF,DTW,SGFDTW,351,Pinnacle Airlines Inc.,37.24432611,-93.38685806,42.21205889,-83.34883583
182,9E,SHV,DTW,SHVDTW,352,Pinnacle Airlines Inc.,32.4466275,-93.82559833,42.21205889,-83.34883583
183,DL,SLC,DTW,SLCDTW,3879,Delta Air Lines Inc.,40.78838778,-111.9777731,42.21205889,-83.34883583
184,EV,SLC,DTW,SLCDTW,1,Atlantic Southeast Airlines,40.78838778,-111.9777731,42.21205889,-83.34883583
185,NW,SLC,DTW,SLCDTW,949,Northwest Airlines Inc.,40.78838778,-111.9777731,42.21205889,-83.34883583
186,OH,SLC,DTW,SLCDTW,1,Comair Inc.,40.78838778,-111.9777731,42.21205889,-83.34883583
187,OO,SLC,DTW,SLCDTW,18,Skywest Airlines Inc.,40.78838778,-111.9777731,42.21205889,-83.34883583
188,FL,SRQ,DTW,SRQDTW,211,AirTran Airways Corporation,27.39533333,-82.55411111,42.21205889,-83.34883583
189,NW,SRQ,DTW,SRQDTW,4195,Northwest Airlines Inc.,27.39533333,-82.55411111,42.21205889,-83.34883583
190,9E,STL,DTW,STLDTW,137,Pinnacle Airlines Inc.,38.74768694,-90.35998972,42.21205889,-83.34883583
191,AA,STL,DTW,STLDTW,3270,American Airlines Inc.,38.74768694,-90.35998972,42.21205889,-83.34883583
192,NW,STL,DTW,STLDTW,21506,Northwest Airlines Inc.,38.74768694,-90.35998972,42.21205889,-83.34883583
193,TW,STL,DTW,STLDTW,12643,Trans World Airways LLC,38.74768694,-90.35998972,42.21205889,-83.34883583
194,WN,STL,DTW,STLDTW,19259,Southwest Airlines Co.,38.74768694,-90.35998972,42.21205889,-83.34883583
195,9E,SWF,DTW,SWFDTW,695,Pinnacle Airlines Inc.,41.50409361,-74.10483833,42.21205889,-83.34883583
196,9E,TUL,DTW,TULDTW,696,Pinnacle Airlines Inc.,36.19837222,-95.88824167,42.21205889,-83.34883583
197,9E,TVC,DTW,TVCDTW,484,Pinnacle Airlines Inc.,44.74144472,-85.582235,42.21205889,-83.34883583
198,NW,TVC,DTW,TVCDTW,10419,Northwest Airlines Inc.,44.74144472,-85.582235,42.21205889,-83.34883583
199,9E,TYS,DTW,TYSDTW,1376,Pinnacle Airlines Inc.,35.81248722,-83.99285583,42.21205889,-83.34883583
200,NW,TYS,DTW,TYSDTW,2955,Northwest Airlines Inc.,35.81248722,-83.99285583,42.21205889,-83.34883583
201,9E,XNA,DTW,XNADTW,347,Pinnacle Airlines Inc.,36.28186944,-94.30681111,42.21205889,-83.34883583
202,NW,XNA,DTW,XNADTW,10,Northwest Airlines Inc.,36.28186944,-94.30681111,42.21205889,-83.34883583
203,NW,ANC,DTW,ANCDTW,1449,Northwest Airlines Inc.,61.17432028,-149.9961856,42.21205889,-83.34883583
204,NW,EGE,DTW,EGEDTW,139,Northwest Airlines Inc.,39.64256778,-106.9176953,42.21205889,-83.34883583
205,CO,EWR,DTW,EWRDTW,15651,Continental Air Lines Inc.,40.69249722,-74.16866056,42.21205889,-83.34883583
206,NW,EWR,DTW,EWRDTW,29689,Northwest Airlines Inc.,40.69249722,-74.16866056,42.21205889,-83.34883583
207,XE,EWR,DTW,EWRDTW,7675,Expressjet Airlines Inc.,40.69249722,-74.16866056,42.21205889,-83.34883583
208,NW,HNL,DTW,HNLDTW,392,Northwest Airlines Inc.,21.31869111,-157.9224072,42.21205889,-83.34883583
209,NW,JFK,DTW,JFKDTW,9025,Northwest Airlines Inc.,40.63975111,-73.77892556,42.21205889,-83.34883583
210,OH,JFK,DTW,JFKDTW,3302,Comair Inc.,40.63975111,-73.77892556,42.21205889,-83.34883583
211,TW,JFK,DTW,JFKDTW,3730,Trans World Airways LLC,40.63975111,-73.77892556,42.21205889,-83.34883583
212,HP,LAS,DTW,LASDTW,3999,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),36.08036111,-115.1523333,42.21205889,-83.34883583
213,NW,LAS,DTW,LASDTW,19117,Northwest Airlines Inc.,36.08036111,-115.1523333,42.21205889,-83.34883583
214,US,LAS,DTW,LASDTW,1388,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),36.08036111,-115.1523333,42.21205889,-83.34883583
215,WN,LAS,DTW,LASDTW,47,Southwest Airlines Co.,36.08036111,-115.1523333,42.21205889,-83.34883583
216,NW,LAX,DTW,LAXDTW,22065,Northwest Airlines Inc.,33.94253611,-118.4080744,42.21205889,-83.34883583
217,FL,MCO,DTW,MCODTW,1255,AirTran Airways Corporation,28.42888889,-81.31602778,42.21205889,-83.34883583
218,NW,MCO,DTW,MCODTW,31578,Northwest Airlines Inc.,28.42888889,-81.31602778,42.21205889,-83.34883583
219,WN,MCO,DTW,MCODTW,660,Southwest Airlines Co.,28.42888889,-81.31602778,42.21205889,-83.34883583
220,AA,MIA,DTW,MIADTW,5688,American Airlines Inc.,25.79325,-80.29055556,42.21205889,-83.34883583
221,NW,MIA,DTW,MIADTW,16603,Northwest Airlines Inc.,25.79325,-80.29055556,42.21205889,-83.34883583
222,UA,MIA,DTW,MIADTW,1,United Air Lines Inc.,25.79325,-80.29055556,42.21205889,-83.34883583
